"wage" "school" "expr" "public" "female" "industry"
"191" 117 11 15 0 0 81
"192" 65 11 13 1 1 93
"193" 92 13 12 0 0 34
"194" 80 13 9 1 1 93
"195" 83 11 10 1 0 93
"196" 76 16 9 1 1 93
"197" 144 13 14 0 1 83
"198" 58 10 13 0 1 35
"199" 77 17 7 1 0 91
"200" 88 13 10 1 1 93
"201" 104 13 12 0 0 92
"202" 115 11 16 0 0 62
"203" 93 17 6 1 0 91
"204" 58 10 13 0 1 38
"205" 107 15 8 0 0 38
"206" 54 11 14 0 1 50
"207" 84 9 15 0 1 81
"208" 98 12 14 0 0 71
"209" 76 13 14 1 1 93
"210" 110 16 9 1 0 91
"211" 64 12 13 1 1 93
"212" 80 16 12 0 0 94
"213" 71 13 11 1 1 93
"214" 71 14 12 1 1 93
"215" 82 15 10 1 1 93
"216" 68 11 14 0 0 95
"217" 61 10 17 1 1 93
"218" 189 14 12 0 1 61
"219" 63 12 13 0 1 92
"220" 95 15 18 0 1 83
"221" 101 12 13 0 0 38
"222" 61 14 11 1 0 93
"223" 91 11 15 0 0 34
"224" 104 9 17 0 1 71
"225" 63 12 10 1 1 93
"226" 81 11 14 1 1 93
"227" 64 10 14 1 1 93
"228" 109 13 13 1 0 91
"229" 54 11 14 0 0 38
"230" 78 11 15 1 0 72
"231" 54 15 10 0 1 71
"232" 83 13 18 1 0 93
"233" 64 10 15 0 0 33
"234" 78 12 12 1 0 93
"235" 76 9 7 1 1 72
"236" 74 12 8 0 0 94
"237" 51 10 15 0 1 62
"238" 106 11 15 0 0 34
"239" 74 11 15 1 1 93
"240" 54 9 6 0 1 63
"241" 54 14 12 1 1 93
"242" 59 13 11 1 1 93
"243" 62 13 12 1 1 93
"244" 62 9 13 1 0 91
"245" 95 11 15 0 0 38
"246" 104 16 5 0 0 83
"247" 64 9 16 0 1 81
"248" 115 11 14 0 0 33
"249" 115 10 14 0 0 93
"250" 73 12 9 1 1 93
"251" 64 11 14 0 0 33
"252" 62 11 14 0 1 71
"253" 88 11 14 1 0 93
"254" 98 13 12 1 0 93
"255" 64 11 12 1 1 93
"256" 68 12 12 1 1 93
"257" 88 12 20 1 1 93
"258" 71 14 11 0 0 33
"259" 78 16 8 1 1 93
"260" 81 12 14 0 0 31
"261" 82 14 8 1 1 93
"262" 56 14 11 0 1 38
"263" 81 14 9 1 1 93
"264" 58 11 7 0 0 83
"265" 67 13 12 1 1 93
"266" 65 12 12 1 1 93
"267" 80 13 12 0 0 34
"268" 104 16 8 0 1 83
"269" 64 12 11 1 1 93
"270" 71 15 10 1 1 93
"271" 88 11 12 0 0 50
"272" 69 12 11 1 1 93
"273" 62 9 16 0 0 34
"274" 61 11 12 1 0 12
"275" 77 15 13 1 0 93
"276" 125 16 7 0 0 83
"277" 100 9 16 0 0 50
"278" 63 9 16 1 1 93
"279" 78 12 12 1 0 82
"280" 56 12 10 0 1 35
"281" 64 12 12 0 1 31
"282" 64 13 9 1 1 62
"283" 78 11 11 1 0 72
"284" 82 14 9 1 1 93
"285" 76 11 17 0 1 39
"286" 81 9 14 0 0 31
"287" 67 14 11 1 1 93
"288" 93 9 14 0 0 34
"289" 88 16 6 0 0 83
"290" 94 10 11 0 0 38
"291" 166 12 12 0 0 81
"292" 71 14 10 0 1 71
"293" 71 11 13 1 1 93
"294" 68 11 10 0 1 33
"295" 77 15 9 1 1 94
"296" 68 10 13 1 1 93
"297" 54 10 1 1 0 50
"298" 68 11 13 1 0 71
"299" 76 18 3 1 0 93
"300" 59 9 16 0 0 95
"301" 84 11 12 0 0 33
"302" 73 16 3 0 1 62
"303" 71 9 15 0 0 71
"304" 68 10 9 0 0 95
"305" 48 18 4 1 0 93
"306" 73 11 5 1 1 93
"307" 63 9 15 0 1 62
"308" 67 11 12 0 0 38
"309" 54 12 8 0 1 38
"310" 87 10 14 0 0 34
"311" 81 13 11 0 0 34
"312" 96 11 13 0 0 34
"313" 65 12 10 1 1 72
"314" 87 12 11 1 0 72
"315" 88 12 11 0 0 50
"316" 68 22 7 1 0 93
"317" 78 12 11 0 0 38
"318" 68 12 13 0 0 94
"319" 81 16 10 0 0 83
"320" 67 9 15 0 0 61
"321" 118 16 5 0 1 81
"322" 94 12 10 0 0 37
"323" 89 11 12 0 0 34
"324" 103 11 10 0 0 50
"325" 87 16 6 1 0 34
"326" 71 13 9 1 1 93
"327" 88 10 13 0 0 34
"328" 93 11 13 0 0 62
"329" 88 15 10 0 1 81
"330" 80 13 11 0 1 81
"331" 91 13 8 0 1 61
"332" 91 11 13 0 0 34
"333" 104 9 15 0 0 31
"334" 76 16 6 0 1 37
"335" 64 9 9 0 1 23
"336" 68 21 2 1 1 94
"337" 84 11 10 0 0 50
"338" 88 12 8 1 1 93
"339" 105 13 9 0 0 38
"340" 78 12 11 0 0 38
"341" 74 6 10 0 1 38
"342" 117 16 3 0 0 35
"343" 67 8 12 0 0 33
"344" 81 13 8 0 0 37
"345" 61 11 11 0 1 62
"346" 64 11 11 1 1 63
"347" 54 11 10 0 0 62
"348" 89 11 12 0 0 34
"349" 87 23 5 1 1 93
"350" 64 9 13 1 0 71
"351" 112 11 12 0 0 50
"352" 116 9 14 0 0 50
"353" 61 13 11 1 0 93
"354" 106 9 13 0 0 32
"355" 74 9 14 1 0 72
"356" 73 10 11 1 1 93
"357" 106 14 11 1 0 91
"358" 76 9 14 1 0 94
"359" 73 11 12 1 1 93
"360" 76 11 11 1 0 91
"361" 73 12 12 0 0 50
"362" 54 10 11 0 1 63
"363" 78 12 11 1 0 72
"364" 67 10 6 0 1 33
"365" 71 11 11 1 1 93
"366" 95 11 12 0 0 50
"367" 94 18 7 1 0 93
"368" 74 15 4 1 1 91
"369" 61 14 5 1 1 93
"370" 110 14 7 0 0 35
"371" 96 11 13 0 0 50
"372" 80 19 8 0 0 83
"373" 71 12 10 0 0 36
"374" 71 13 9 1 0 93
"375" 56 16 6 1 0 93
"376" 71 14 6 0 0 81
"377" 100 9 14 0 0 50
"378" 59 11 10 0 1 62
"379" 65 9 15 0 0 71
"380" 64 9 14 0 1 71
"381" 61 9 12 0 1 62
"382" 73 11 11 1 1 93
"383" 68 11 11 0 0 36
"384" 81 13 9 1 0 72
"385" 87 17 4 0 1 83
"386" 87 13 9 0 0 50
"387" 76 16 5 1 0 93
"388" 110 14 12 0 0 50
"389" 64 13 12 0 0 61
"390" 71 11 9 1 1 93
"391" 78 11 4 1 1 72
"392" 98 9 12 0 0 61
"393" 125 14 11 1 1 93
"394" 101 16 6 1 0 91
"395" 54 17 4 0 1 93
"396" 94 13 6 0 0 50
"397" 106 13 8 0 0 50
"398" 139 16 8 1 1 91
"399" 59 11 10 0 1 62
"400" 54 9 10 1 0 83
"401" 95 12 9 0 0 38
"402" 54 11 11 0 1 37
"403" 81 11 11 1 0 92
"404" 65 12 7 1 0 91
"405" 82 12 10 0 1 34
"406" 109 13 7 0 1 83
"407" 98 9 12 0 0 62
"408" 82 11 11 1 1 93
"409" 55 9 12 1 1 91
"410" 69 9 13 0 0 33
"411" 73 11 10 0 0 38
"412" 61 11 10 0 0 33
"413" 76 11 4 1 1 93
"414" 64 18 4 1 1 91
"415" 112 11 11 0 0 50
"416" 76 11 11 0 0 95
"417" 92 13 9 0 1 83
"418" 59 11 10 0 0 62
"419" 95 13 10 1 1 91
"420" 81 11 11 0 0 38
"421" 61 11 11 0 1 83
"422" 81 12 10 0 0 95
"423" 71 11 10 1 1 93
"424" 59 16 5 0 0 93
"425" 89 11 11 0 0 50
"426" 91 17 4 0 0 38
"427" 55 10 7 0 1 62
"428" 54 11 10 0 0 71
"429" 76 12 10 0 1 31
"430" 65 13 8 0 1 63
"431" 68 11 10 0 1 34
"432" 78 16 6 1 1 93
"433" 68 15 8 0 1 93
"434" 71 13 9 0 0 38
"435" 76 16 6 1 1 93
"436" 67 19 4 1 0 93
"437" 65 14 8 0 1 61
"438" 74 16 5 0 1 61
"439" 68 11 10 1 0 72
"440" 87 12 8 0 0 38
"441" 69 10 11 0 0 38
"442" 58 13 8 1 1 93
"443" 71 12 7 0 0 38
"444" 65 11 7 0 0 62
"445" 74 11 9 1 1 93
"446" 67 15 5 1 0 93
"447" 63 9 6 1 1 93
"448" 55 11 7 1 1 93
"449" 64 11 10 0 0 95
"450" 78 11 10 0 1 81
"451" 71 12 10 0 0 83
"452" 129 15 6 0 1 34
"453" 96 14 6 0 0 34
"454" 76 11 10 0 0 34
"455" 82 11 10 0 0 38
"456" 76 13 7 0 0 38
"457" 67 14 8 1 1 93
"458" 59 11 10 1 1 72
"459" 92 13 7 0 0 38
"460" 64 10 8 1 1 93
"461" 73 17 3 1 1 93
"462" 121 16 4 1 0 91
"463" 87 15 5 0 1 38
"464" 71 11 9 0 0 38
"465" 61 9 10 0 0 31
"466" 83 14 5 1 0 93
"467" 64 9 9 1 1 93
"468" 68 9 10 0 0 93
"469" 104 15 3 0 0 71
"470" 92 11 10 0 0 50
"471" 65 11 10 1 1 91
"472" 71 11 10 0 0 37
"473" 67 13 5 0 0 39
"474" 68 16 4 0 0 62
"475" 101 11 9 0 0 50
"476" 120 11 8 0 0 50
"477" 98 12 8 0 0 38
"478" 71 14 7 1 1 93
"479" 71 15 5 1 1 93
"480" 64 11 8 0 0 95
"481" 115 17 4 0 1 83
"482" 80 18 3 1 1 93
"483" 104 18 4 1 0 93
"484" 65 9 11 0 0 38
"485" 110 17 4 0 0 38
"486" 51 13 4 0 0 62
"487" 89 9 6 0 0 38
"488" 64 15 6 1 1 93
"489" 54 11 10 1 0 93
"490" 55 13 5 1 0 93
"491" 76 9 9 0 0 38
"492" 74 13 12 0 0 34
"493" 63 11 8 0 0 62
"494" 92 12 8 0 1 32
"495" 65 11 9 0 0 71
"496" 61 11 8 1 1 93
"497" 69 10 10 0 0 38
"498" 101 19 2 1 0 91
"499" 64 15 5 1 1 93
"500" 71 11 9 0 0 37
"501" 62 9 10 0 0 71
"502" 82 15 5 0 0 83
"503" 46 9 8 1 1 93
"504" 63 11 8 0 0 50
"505" 64 9 10 1 0 72
"506" 74 11 8 0 0 35
"507" 56 12 7 1 1 91
"508" 103 15 8 0 0 50
"509" 64 11 9 1 1 93
"510" 77 15 4 1 1 93
"511" 81 11 6 0 0 38
"512" 68 15 5 1 1 93
"513" 56 9 10 0 1 38
"514" 71 17 3 0 1 38
"515" 81 11 7 0 0 50
"516" 76 13 6 1 1 93
"517" 78 11 8 0 0 35
"518" 58 18 2 1 1 93
"519" 214 18 2 1 0 93
"520" 110 15 8 0 0 38
"521" 100 11 8 0 0 37
"522" 89 14 5 0 0 38
"523" 59 11 4 0 1 93
"524" 61 11 9 1 1 93
"525" 77 14 4 1 0 91
"526" 77 16 2 0 0 83
"527" 54 9 5 0 1 92
"528" 63 11 10 0 0 92
"529" 132 11 9 0 0 38
"530" 65 9 11 0 0 38
"531" 67 15 6 1 1 93
"532" 86 12 7 0 0 50
"533" 58 12 7 1 1 62
"534" 59 14 4 0 1 93
"535" 65 11 8 0 0 62
"536" 64 11 6 0 0 35
"537" 101 16 3 1 1 93
"538" 95 11 9 0 0 38
"539" 65 16 4 1 1 93
"540" 61 11 9 0 0 61
"541" 73 12 9 1 1 93
"542" 71 11 8 0 0 33
"543" 61 11 5 0 1 91
"544" 61 13 7 0 1 62
"545" 152 9 11 0 0 38
"546" 51 11 6 0 0 31
"547" 54 10 9 0 0 93
"548" 65 11 8 0 0 62
"549" 88 11 9 0 0 50
"550" 58 11 7 1 1 93
"551" 54 10 9 0 0 93
"552" 98 11 6 0 0 63
"553" 89 12 5 0 0 37
"554" 61 12 7 1 1 93
"555" 73 14 4 0 0 38
"556" 61 14 5 1 0 93
"557" 47 11 6 1 1 93
"558" 58 11 8 1 1 93
"559" 64 13 6 0 0 35
"560" 62 9 10 0 0 92
"561" 71 15 3 0 1 62
"562" 45 9 9 0 0 63
"563" 83 17 4 1 1 91
"564" 65 11 5 0 1 61
"565" 93 12 5 0 0 50
"566" 58 12 5 0 1 63
"567" 87 12 7 1 0 71
"568" 68 13 5 1 1 93
"569" 39 9 5 1 0 31
"570" 61 17 6 1 0 91
"571" 68 11 8 0 0 95
"572" 68 15 4 0 0 37
"573" 65 11 8 0 0 61
"574" 84 14 4 0 0 38
"575" 74 11 6 0 0 71
"576" 67 13 6 0 1 12
"577" 65 9 10 1 0 72
"578" 59 11 8 0 1 38
"579" 63 10 3 1 1 93
"580" 87 11 6 0 0 71
"581" 71 13 6 1 1 93
"582" 62 13 5 1 1 93
"583" 103 14 2 0 1 38
"584" 64 13 6 1 1 93
"585" 76 12 7 0 1 81
"586" 48 16 3 0 1 93
"587" 59 13 5 0 1 63
"588" 61 11 8 0 0 31
"589" 56 11 7 0 1 63
"590" 64 11 6 0 0 34
"591" 51 13 4 1 1 93
"592" 71 14 7 1 0 91
"593" 59 12 5 1 1 93
"594" 64 12 5 0 0 71
"595" 78 11 6 0 0 81
"596" 65 11 7 0 0 34
"597" 65 13 7 1 1 72
"598" 87 11 8 0 0 50
"599" 73 9 9 1 1 93
"600" 83 11 8 0 0 50
"601" 45 17 2 0 1 83
"602" 76 11 8 0 0 38
"603" 74 11 8 0 0 83
"604" 71 12 6 0 1 38
"605" 63 13 6 0 0 31
"606" 67 13 5 1 1 91
"607" 65 12 6 1 1 93
"608" 68 11 5 1 0 93
"609" 91 13 7 0 0 81
"610" 76 12 6 0 0 38
"611" 64 16 3 1 0 91
"612" 82 11 8 0 0 31
"613" 100 11 7 0 0 50
"614" 64 11 7 0 0 38
"615" 63 11 6 0 1 34
"616" 67 10 8 0 0 71
"617" 81 11 6 0 1 34
"618" 56 14 2 1 0 72
"619" 62 12 5 1 1 93
"620" 73 11 6 0 0 50
"621" 82 15 7 1 0 82
"622" 84 11 7 0 1 62
"623" 59 15 4 0 1 62
"624" 61 9 9 0 1 61
"625" 71 10 10 1 0 72
"626" 64 11 6 0 1 95
"627" 62 10 7 0 1 34
"628" 81 11 6 0 0 50
"629" 73 11 6 1 1 93
"630" 95 13 7 0 0 50
"631" 55 17 2 0 1 31
"632" 80 11 7 0 0 50
"633" 53 10 2 1 0 93
"634" 48 14 8 1 0 33
"635" 63 11 6 0 0 12
"636" 140 13 1 1 0 93
"637" 71 14 4 0 0 38
"638" 55 11 7 0 0 33
"639" 74 13 5 0 0 29
"640" 64 15 5 1 1 93
"641" 59 12 6 0 1 62
"642" 62 11 7 0 1 63
"643" 78 11 6 1 0 72
"644" 74 9 9 0 0 50
"645" 61 12 6 1 1 83
"646" 71 11 7 0 0 38
"647" 133 12 6 1 1 62
"648" 54 10 8 0 1 63
"649" 67 13 4 1 1 93
"650" 53 12 5 0 1 82
"651" 69 16 2 0 0 38
"652" 68 13 4 0 1 71
"653" 64 11 6 0 0 31
"654" 96 11 7 0 0 34
"655" 101 11 6 0 0 50
"656" 58 12 6 0 1 62
"657" 64 13 3 1 1 93
"658" 73 14 5 1 1 93
"659" 51 8 1 0 1 63
"660" 64 15 2 0 0 83
"661" 59 11 7 0 0 62
"662" 56 11 7 0 1 62
"663" 101 12 6 0 1 71
"664" 71 11 6 1 1 93
"665" 67 16 2 0 0 71
"666" 64 15 1 0 0 83
"667" 93 15 2 1 0 91
"668" 74 13 4 0 0 50
"669" 59 11 4 1 1 93
"670" 83 16 2 0 1 83
"671" 61 9 8 0 1 38
"672" 61 10 8 1 1 72
"673" 59 11 6 0 0 63
"674" 65 12 4 0 1 93
"675" 67 12 4 0 0 81
"676" 54 12 4 1 0 12
"677" 59 12 5 0 1 63
"678" 67 11 3 0 0 62
"679" 64 9 7 1 1 93
"680" 65 12 7 1 1 93
"681" 87 11 5 0 0 50
"682" 62 9 8 0 0 83
"683" 62 14 3 1 1 93
"684" 58 12 6 1 1 93
"685" 67 13 4 0 1 93
"686" 63 12 4 0 0 12
"687" 59 11 6 0 0 61
"688" 54 12 3 0 0 94
"689" 73 12 4 0 0 93
"690" 78 12 6 0 1 93
"691" 68 11 6 0 0 63
"692" 54 15 1 0 0 38
"693" 68 18 1 0 1 83
"694" 58 11 6 0 1 32
"695" 100 11 6 0 0 50
"696" 92 13 3 0 0 62
"697" 67 10 5 0 1 33
"698" 64 11 5 0 0 71
"699" 64 15 3 1 1 93
"700" 51 12 5 0 0 38
"701" 96 14 7 0 0 71
"702" 68 14 3 0 0 83
"703" 81 14 2 1 0 91
"704" 68 15 1 0 0 34
"705" 88 11 6 0 0 50
"706" 51 15 2 1 0 91
"707" 88 11 7 0 1 63
"708" 69 12 4 0 1 38
"709" 62 15 2 0 0 93
"710" 92 11 7 0 0 35
"711" 64 12 4 0 0 23
"712" 84 13 3 0 0 38
"713" 61 11 5 1 1 72
"714" 61 11 5 1 1 93
"715" 64 12 3 1 1 81
"716" 58 12 4 1 1 72
"717" 67 12 3 0 1 38
"718" 54 11 5 1 1 93
"719" 63 11 4 0 0 63
"720" 73 12 3 0 0 83
"721" 51 14 2 0 1 36
"722" 65 13 2 0 0 50
"723" 74 11 5 0 0 61
"724" 58 12 3 1 1 93
"725" 74 13 3 1 1 93
"726" 45 14 3 0 1 62
"727" 58 12 3 1 1 93
"728" 69 11 4 0 0 31
"729" 62 13 1 1 0 63
"730" 76 11 4 1 0 93
"731" 59 11 4 0 0 34
"732" 58 11 5 0 1 11
"733" 61 11 4 1 1 93
"734" 64 11 5 0 0 62
"735" 54 12 3 1 1 93
"736" 64 10 5 0 1 83
"737" 69 12 5 0 0 38
"738" 63 15 1 1 0 93
"739" 76 12 4 0 0 38
"740" 98 11 6 0 0 50
"741" 67 11 5 0 0 33
"742" 64 12 4 0 0 38
"743" 64 13 3 0 1 83
"744" 69 9 7 1 1 71
"745" 58 11 7 1 1 82
"746" 68 13 7 0 1 94
"747" 54 11 4 0 0 71
"748" 73 13 3 0 0 81
"749" 96 14 1 0 0 63
"750" 61 11 4 1 1 93
"751" 65 11 5 0 0 63
"752" 53 12 3 1 1 91
"753" 54 11 4 0 1 95
"754" 104 13 3 0 0 50
"755" 78 13 3 0 1 83
"756" 58 14 3 0 1 83
"757" 81 11 4 0 0 71
"758" 64 13 1 0 0 38
"759" 63 13 1 0 0 38
"760" 64 11 3 1 1 91
"761" 53 14 2 0 1 38
"762" 71 12 2 0 1 39
"763" 64 12 3 0 0 62
"764" 59 12 2 1 0 90
"765" 58 11 5 0 1 31
"766" 45 12 2 0 1 33
"767" 74 12 2 0 0 63
"768" 59 14 2 0 1 62
"769" 62 13 2 0 0 38
"770" 73 11 4 0 0 36
"771" 76 11 6 0 1 83
"772" 71 13 1 1 1 93
"773" 100 12 2 0 0 50
"774" 67 11 4 0 0 38
"775" 56 11 6 0 1 62
"776" 71 11 3 1 1 93
"777" 53 11 3 1 1 93
"778" 61 13 1 0 0 38
"779" 59 12 2 0 1 83
"780" 64 12 3 0 1 61
"781" 80 11 3 0 0 12
"782" 93 13 5 0 0 50
"783" 84 11 3 0 0 50
"784" 58 10 4 1 1 93
"785" 84 11 3 0 0 95
"786" 59 11 7 1 1 93
"787" 51 12 1 0 0 62
"788" 64 9 6 0 0 33
"789" 58 12 2 0 1 81
"790" 83 11 4 0 1 71
"791" 68 13 2 0 0 62
"792" 54 13 2 0 0 92
"793" 59 11 4 1 1 93
"794" 64 13 2 0 0 35
"795" 58 13 1 0 0 71
"796" 61 11 2 0 0 50
"797" 49 11 2 1 1 72
"798" 67 11 3 1 1 93
"799" 63 11 2 1 1 93
"800" 58 12 1 0 1 31
"801" 56 9 5 1 1 95
"802" 82 11 2 0 0 37
"803" 74 11 3 0 0 50
"804" 91 11 2 0 0 50
"805" 76 12 3 0 0 37
"806" 64 9 5 0 0 33
"807" 51 12 1 1 1 93
"808" 59 12 2 1 1 93
"809" 65 11 2 1 1 93
"810" 110 9 5 0 0 83
"811" 73 11 3 1 1 93
"812" 76 12 1 1 0 93
"813" 71 11 2 1 1 93
"814" 69 11 1 0 0 94
"815" 74 9 5 0 0 31
"816" 42 12 2 1 1 93
"817" 59 11 2 0 0 62
"818" 39 12 1 0 0 38
"819" 59 13 1 1 1 91
"820" 81 12 2 0 0 37
"821" 61 11 2 1 1 93
"822" 61 12 1 0 0 50
"823" 54 11 2 0 1 83
"824" 58 11 3 0 0 63
"825" 64 11 2 0 0 38
"826" 101 11 3 0 0 50
"827" 49 12 1 0 1 63
"828" 58 11 3 0 1 11
"829" 56 12 1 0 0 38
"830" 65 12 1 1 1 93
"831" 69 11 2 0 0 50
"832" 61 11 3 0 1 31
"833" 58 12 2 0 0 60
"834" 46 12 2 0 1 62
"835" 73 11 3 0 1 30
"836" 53 11 2 1 0 93
"837" 91 11 2 0 1 94
"838" 54 12 1 0 0 81
"839" 74 10 3 0 0 38
"840" 51 12 2 0 0 62
"841" 64 12 1 0 0 63
"842" 54 12 2 1 0 93
"843" 54 12 1 0 1 63
"844" 58 11 1 0 1 92
"845" 49 11 2 1 0 72
"846" 58 9 4 0 0 50
"847" 63 11 1 0 0 34
"848" 59 12 1 1 1 93
"849" 46 12 1 0 1 83
"850" 59 9 3 0 0 92
"851" 77 11 3 0 0 38
"852" 67 12 1 0 0 38
"853" 54 13 7 0 1 62
"854" 46 12 1 0 1 93
"855" 54 12 1 0 0 93
"856" 63 11 2 0 1 93
"857" 54 13 2 1 1 93
"858" 100 11 2 0 0 31
"859" 68 12 1 0 1 34
"860" 43 11 2 0 0 33
"861" 45 12 1 1 1 93
"862" 73 11 1 0 0 95
"863" 54 9 4 0 1 61
"864" 54 11 1 1 1 93
"865" 58 12 1 1 1 93
"866" 74 12 1 1 1 93
"867" 100 11 2 0 0 50
"868" 58 11 4 1 1 93
"869" 150 12 2 1 0 93
"870" 47 12 5 0 0 62
"871" 59 11 2 0 0 50
"872" 74 11 5 0 1 62
